"PLANE TREE TERRACE 27-45","ACCRINGTON","CLAYTON LE MOORS","","VICTORIA STREET","",015765
"PLAS-Y-PARC","CARDIFF","","","PARK PLACE","",024847
"PLAS WINSOR","CARDIFF","","","WINDSOR PLACE","",024847
"YORKDALE INDUSTRIAL ESTATE","LEEDS","","","KENNETH STREET","",029059
"PLAS ISAF","PRESTATYN","","","POPLAR GROVE","",003531
"PLEASANT VIEW","BLACKBURN","RISHTON","","STOURTON STREET","",015807
"YORK TERRACE 5-15","BLACKBURN","RISHTON","","DANVERS STREET","",015807
"PLAIN HILL ROAD","ASHFORD","SMEETH","","PLAIN ROAD","",014829
"PLAS ISA","DOLGELLAU","","","LION STREET","",011996
"PLAYERS FIELD","SEAFORD","","","HARTFIELD ROAD","",009966
"PLATINUM PARK INDUSTRIAL ESTATE","BOLTON","LOSTOCK","","LYNSTOCK WAY","",015853
"PLAS Y NEUADD","CARDIFF","","","GUILDHALL PLACE","",024847
"PLUMBERS LANE","STROUD","NAILSWORTH","","SHORTWOOD","",011261
"PLAS DUMFRIES","CARDIFF","","","DUMFRIES PLACE","",024847
"PLAS GRONO ROAD","WREXHAM","RHOSTYLLEN","","COLLIERY ROAD","BERSHAM ENTERPRISE CENTRE",003634
"PLEX LANE","SHREWSBURY","HADNALL","","PLEX ROAD","",023906
"PLEASANT MOUNT","WREXHAM","COEDPOETH","","BRYN SIRIOL","",003598
"PLESSEY BUSINESS PARK","NOTTINGHAM","BEESTON","","TECHNOLOGY DRIVE","",021386
"PLYMOUTH AVENUE","NOTTINGHAM","PINXTON","","BROOKHILL INDUSTRIAL ESTATE","",021486
"PLAS SANT ANDREAS","CARDIFF","","","ST. ANDREWS PLACE","",024847
"YOULDENS CLOSE","TOTNES","HARBERTONFORD","","YOULDONS CLOSE","",008069
"PLOUGH FIELD","LLANRWST","","","MAES YR ARADR","",012104
"PLENVA WALK","EBBW VALE","WAUNLWYD","","COED-Y-GARN","",011571
"PLEMONT","JERSEY","ST. OUEN","","LA ROUTE DE PLEMONT","",035806
