Postcode,Post Town,Dependent Locality,Double Dependent Locality,Thoroughfare,Dependent Thoroughfare,Building Number,Building Name,Sub Building Name,PO Box,Department Name,Organisation Name,UDPRN,Postcode Type,SU Organisation Identifier,Delivery Point Suffix
BF1 0AB,BFPO,,,BFPO 16,,,,,,,,99000002,L,,1A
BF1 0AE,BFPO,,,BFPO 19,,,,,,,,99000004,L,,1A
BF1 0AR,BFPO,,,BFPO 44,,,,,,,,99000013,L,,1A
BF1 0AT,BFPO,,,BFPO 46,,,,,,,,99000685,L,,1A
BF1 0AX,BFPO,,,BFPO 105,,,,,,,,99000015,L,,1A
BF1 0DL,BFPO,,,BFPO 109,,,,,,,,99000016,L,,1A
BF1 1AA,BFPO,,,BFPO 801,,,,,,,,99000020,L,,1A
BF1 1AD,BFPO,,,BFPO 805,,,,,,,,99000022,L,,1A
BF1 1AE,BFPO,,,BFPO 806,,,,,,,,99000023,L,,1A
BF1 1AG,BFPO,,,BFPO 808,,,,,,,,99000024,L,,1A
BF1 1AJ,BFPO,,,BFPO 900,,,,,,,,99000855,L,,1A
BF1 2AA,BFPO,,,BFPO 6,,,,,,,,99000026,L,,1A
BF1 2AB,BFPO,,,BFPO 8,,,,,,,,99000027,L,,1A
BF1 2AG,BFPO,,,BFPO 26,,,,,,,,99000029,L,,1A
BF1 2AH,BFPO,,,BFPO 28,,,,,,,,99000030,L,,1A
BF1 2AN,BFPO,,,BFPO 49,,,,,,,,99000031,L,,1A
BF1 2AQ,BFPO,,,BFPO 50,,,,,,,,99000032,L,,1A
BF1 2AR,BFPO,,,BFPO 52,,,,,,,,99000033,L,,1A
BF1 2AS,BFPO,,,BFPO 53,,,,,,,,99000034,L,,1A
BF1 2AT,BFPO,,,BFPO 57,,,,,,,,99000035,L,,1A
BF1 2AU,BFPO,,,BFPO 58,,,,,,,,99000036,L,,1A
BF1 2AW,BFPO,,,BFPO 59,,,,,,,,99000037,L,,1A
BF1 2AX,BFPO,,,BFPO 56,,,,,,,,99000678,L,,1A
BF1 2AY,BFPO,,,BFPO 61,,,,,,,,99000038,L,,1A
BF1 2BA,BFPO,,,BFPO 65,,,,,,,,99000039,L,,1A
BF1 2BE,BFPO,,,BFPO 68,,,,,,,,99000679,L,,1A
BF1 2DG,BFPO,,,BFPO 90,,,,,,,,99000892,L,,1A
BF1 2EU,BFPO,,,BFPO 120,,,,,,,,99000797,L,,1A
BF1 2EW,BFPO,,,BFPO 121,,,,,,,,99000798,L,,1A
BF1 2EX,BFPO,,,BFPO 122,,,,,,,,99000799,L,,1A
BF1 2EY,BFPO,,,BFPO 123,,,,,,,,99000800,L,,1A
BF1 2EZ,BFPO,,,BFPO 124,,,,,,,,99000801,L,,1A
BF1 2FA,BFPO,,,BFPO 125,,,,,,,,99000802,L,,1A
BF1 2FB,BFPO,,,BFPO 126,,,,,,,,99000803,L,,1A
BF1 2FD,BFPO,,,BFPO 127,,,,,,,,99000804,L,,1A
BF1 2FE,BFPO,,,BFPO 128,,,,,,,,99000805,L,,1A
BF1 2FF,BFPO,,,BFPO 129,,,,,,,,99000806,L,,1A
BF1 2FG,BFPO,,,BFPO 130,,,,,,,,99000807,L,,1A
BF1 2FH,BFPO,,,BFPO 131,,,,,,,,99000808,L,,1A
BF1 2FJ,BFPO,,,BFPO 132,,,,,,,,99000809,L,,1A
BF1 2FL,BFPO,,,BFPO 133,,,,,,,,99000810,L,,1A
BF1 2FN,BFPO,,,BFPO 134,,,,,,,,99000811,L,,1A
BF1 2FP,BFPO,,,BFPO 135,,,,,,,,99000812,L,,1A
BF1 2FQ,BFPO,,,BFPO 136,,,,,,,,99000813,L,,1A
BF1 2FR,BFPO,,,BFPO 137,,,,,,,,99000814,L,,1A
BF1 2FS,BFPO,,,BFPO 138,,,,,,,,99000815,L,,1A
BF1 2FT,BFPO,,,BFPO 139,,,,,,,,99000816,L,,1A
BF1 2FW,BFPO,,,BFPO 141,,,,,,,,99000817,L,,1A
BF1 2FX,BFPO,,,BFPO 142,,,,,,,,99000818,L,,1A
BF1 2FY,BFPO,,,BFPO 143,,,,,,,,99000819,L,,1A
